"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Limenitis arthemis arizonensis","2017-08-13 11:13:00 -0600","","2173 E Miller Canyon Rd, Hereford, AZ 85615, USA",31.416332,-110.276625,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/7547904","https://static.inaturalist.org/photos/9850137/medium.jpg?1503098114","varajuan",7547904,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2017/08/13 11:13 AM MST","2017-08-13","2017-08-13 17:13:00 UTC","Mountain Time (US & Canada)",206,"","","false","","",NA,254546,"2017-08-18 23:15:43 UTC","2017-08-23 20:47:03 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-06-20 12:10:00 -0600","","Madera Canyon, Pima County, AZ, USA",31.7294173229,-110.8811903,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/7112807","https://static.inaturalist.org/photos/9147143/medium.jpeg?1500433627","tomoclark",7112807,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2017/06/20 12:10 PM MST","2017-06-20","2017-06-20 18:10:00 UTC","Mountain Time (US & Canada)",15,"","","false","","",NA,489036,"2017-07-19 03:18:19 UTC","2017-07-19 13:52:01 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2015-05-17 15:11:47 -0700","","Tuscon, AZ",31.690782,-109.978638,"Limenitis arthemis arizonensis","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/7082803","https://static.inaturalist.org/photos/9098441/medium.jpg?1500252102","fogartyf",7082803,"Mariposa almirante","Insecta",60606,"false",1,0,"2015-05-17 15:11:47","2015-05-17","2015-05-17 22:11:47 UTC","Pacific Time (US & Canada)",94828,"","","false","","manual",NA,318515,"2017-07-17 00:42:27 UTC","2017-08-02 01:58:20 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-05-03 16:28:00 -0600","","Upper Russell Gulch, Gila County, AZ, USA",33.2949514391,-110.8661270142,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/6365094","https://static.inaturalist.org/photos/8029075/medium.jpeg?1495770003","tomoclark",6365094,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2017/05/03 4:28 PM MST","2017-05-03","2017-05-03 22:28:00 UTC","Mountain Time (US & Canada)",244,"","","false","","",NA,489036,"2017-05-26 03:49:24 UTC","2017-05-26 21:31:25 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-05-22 12:53:00 -0500","","Saltillo, Coah., México",25.3688216667,-100.9487083333,"","Arizona Red-spotted Purple","http://conabio.inaturalist.org/observations/6324170","https://static.inaturalist.org/photos/7965822/medium.jpeg?1495490615","arturoc",6324170,"Mariposa almirante","Insecta",60606,"false",1,0,"2017/05/22 12:53 PM CDT","2017-05-22","2017-05-22 17:53:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,175755,"2017-05-22 22:04:52 UTC","2017-05-23 04:07:33 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-05-17 11:32:00 -0500","","Saltillo, Coah., México",25.3381305792,-100.9663724899,"","Arizona Red-spotted Purple","http://conabio.inaturalist.org/observations/6318943","https://static.inaturalist.org/photos/7957520/medium.jpeg?1495466299","arturoc",6318943,"Mariposa almirante","Insecta",60606,"false",1,0,"2017/05/17 11:32 AM CDT","2017-05-17","2017-05-17 16:32:00 UTC","Central Time (US & Canada)",61,"","","false","","",NA,175755,"2017-05-22 15:55:30 UTC","2017-05-23 04:23:39 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-05-20 12:32:00 -0500","Alight on Quercus grisea (gray oak). Photos & entry by CP.","Jeff Davis County, TX, USA",30.6806427821,-104.1470003128,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/6312325","https://static.inaturalist.org/photos/7948135/medium.jpg?1495417808","pipes_of_fort_davis",6312325,"Arizona Red-spotted Purple","Insecta",60606,"false",2,1,"2017/05/20 12:32 pM CDT","2017-05-20","2017-05-20 17:32:00 UTC","Central Time (US & Canada)",100,"","","false","","",NA,19402,"2017-05-22 01:56:03 UTC","2017-09-16 22:51:43 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-05-07 13:08:00 -0700","","Cochise County, AZ, USA",31.8830421203,-109.2078459263,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/6276868","https://static.inaturalist.org/photos/7898212/medium.jpg?1495229382","anudibranchmom",6276868,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2017/05/07 1:08 PM PDT","2017-05-07","2017-05-07 20:08:00 UTC","Pacific Time (US & Canada)",215,"","","false","","",NA,26610,"2017-05-19 21:36:24 UTC","2017-05-19 22:15:38 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-05-06 08:23:00 -0700","East Turkey Creek at FR42/FR42B","Cochise County, AZ, USA",31.9093302766,-109.2506217957,"2017-05 SEAZ Road Trip","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/6259488","https://static.inaturalist.org/photos/7871826/medium.jpg?1495118652","anudibranchmom",6259488,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2017/05/06 8:23 AM PDT","2017-05-06","2017-05-06 15:23:00 UTC","Pacific Time (US & Canada)",604,"","","false","","",NA,26610,"2017-05-18 15:03:57 UTC","2017-05-18 17:35:06 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-05-03 09:18:00 -0700","Carrie Nation Trail","carrie nation mine trail",31.70443,-110.876341,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/6238112","https://static.inaturalist.org/photos/7840288/medium.jpg?1494961320","anudibranchmom",6238112,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2017/05/03 9:18 AM PDT","2017-05-03","2017-05-03 16:18:00 UTC","Pacific Time (US & Canada)",944,"","","false","","google",NA,26610,"2017-05-16 19:20:28 UTC","2017-05-16 22:56:41 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-04-25 12:26:28 -0600","","Graham County, US-AZ, US",32.43415278,-110.33654598,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/5987652","https://static.inaturalist.org/photos/7491516/medium.jpeg?1493346788","mikehansen97846",5987652,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2017-04-25 12:26:28 PM MST","2017-04-25","2017-04-25 18:26:28 UTC","Mountain Time (US & Canada)",15,"","","false","","",NA,463248,"2017-04-27 22:47:00 UTC","2017-04-28 21:54:24 UTC","research","CC-BY-NC",2,"false"
"Limenitis arthemis arizonensis","2017-04-23 09:52:00 -0500","","Bustamante, N.L., México",26.5424733056,-100.5476132778,"","Arizona Red-spotted Purple","http://conabio.inaturalist.org/observations/5944805","https://static.inaturalist.org/photos/7423179/medium.jpeg?1493078631","panza_rayada",5944805,"Mariposa almirante","Insecta",60606,"false",1,0,"2017/04/23 9:52 AM CDT","2017-04-23","2017-04-23 14:52:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,127156,"2017-04-25 00:05:18 UTC","2017-04-25 00:31:36 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-04-18 09:44:00 -0500","","Saltillo, Coah., México",25.3379766667,-100.9727783333,"","Arizona Red-spotted Purple","http://conabio.inaturalist.org/observations/5914887","https://static.inaturalist.org/photos/7378070/medium.jpeg?1492910217","arturoc",5914887,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2017/04/18 9:44 AM CDT","2017-04-18","2017-04-18 14:44:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,175755,"2017-04-23 01:25:05 UTC","2017-09-16 15:06:53 UTC","research","CC-BY-NC",NA,"false"
